City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,port saint john's,-31.6229,29.5448,20.62,88,100,4.1,ZA,1702947375
117,kodiak,57.79,-152.4072,-2.27,74,100,1.54,US,1702947375
118,jamestown,42.097,-79.2353,2.77,100,100,8.23,US,1702947336
119,hirara,24.8,125.2833,24.92,78,75,6.17,JP,1702947375
120,uren',57.4552,45.7852,-3.64,95,76,3.12,RU,1702947375
121,sattenapalle,16.4,80.1833,18.37,83,60,1.42,IN,1702947375
122,fortuna,40.5982,-124.1573,17.19,95,100,8.75,US,1702947375
123,iqaluit,63.7506,-68.5145,-17.15,66,100,2.57,CA,1702947376
124,bharatpur,27.2167,77.4833,10.62,41,4,3.39,IN,1702947376
125,nafada,11.0956,11.3327,21.41,29,15,2.37,NG,1702947376
126,ribeira grande,38.5167,-28.7,13.76,90,100,8.05,PT,1702947376
127,utrik,11.2278,169.8474,26.83,77,28,10.23,MH,1702947376
128,turaif,31.6725,38.6637,5.14,48,0,4.12,SA,1702947376
129,chertkovo,49.3847,40.1547,0.93,100,100,3.9,RU,1702947376
130,shenjiamen,29.9576,122.298,8.95,92,100,9.17,CN,1702947376
131,eureka,40.8021,-124.1637,17.34,86,100,5.06,US,1702947300
132,broken hill,-31.95,141.4333,25.85,37,46,9.71,AU,1702947202
133,san patricio,28.017,-97.5169,18.24,52,96,3.34,US,1702947376
134,bechar,31.6167,-2.2167,7.18,57,20,3.6,DZ,1702947376
135,ratnapura,6.6828,80.3992,24.11,94,99,0.78,LK,1702947376
136,klyuchi,52.2667,79.1667,-12.67,58,100,8.35,RU,1702947376
137,sitia,35.2,26.0986,14.99,71,27,6.82,GR,1702947377
138,hong kong,22.2855,114.1577,18.47,83,80,4.92,HK,1702946786
139,vilyuysk,63.7553,121.6247,-27.46,98,100,2.51,RU,1702947377
140,malango,-2.9627,119.9001,22.19,94,100,0.53,ID,1702947377
141,yeppoon,-23.1333,150.7333,30.88,63,30,5.35,AU,1702947377
142,maintirano,-18.0667,44.0167,28.25,74,100,3.42,MG,1702947377
143,zhezqazghan,47.7833,67.7667,-3.68,93,100,9.0,KZ,1702947377
144,taksimo,56.3444,114.8794,-32.6,90,12,1.23,RU,1702947377
145,hassi messaoud,31.6804,6.0729,7.92,93,75,2.57,DZ,1702947321
146,hammerfest,70.6634,23.6821,0.25,86,75,4.63,NO,1702947377
147,el porvenir,13.7617,-87.3458,21.63,60,5,3.78,HN,1702947378
148,ganjam,19.3833,85.0667,18.5,61,15,2.92,IN,1702947378
149,hanko,59.8333,22.95,4.43,100,100,12.07,FI,1702947378
150,laguna,38.421,-121.4238,17.88,83,100,6.69,US,1702947378
151,debark',13.1561,37.8981,9.76,53,5,0.98,ET,1702947378
152,ust-nera,64.5667,143.2,-36.9,98,98,1.31,RU,1702947378
153,sakaiminato,35.55,133.2333,4.99,93,75,1.54,JP,1702947378
154,arraial do cabo,-22.9661,-42.0278,22.98,88,20,2.06,BR,1702947379
155,sanctuary point,-35.1114,150.629,28.32,59,100,3.81,AU,1702947379
156,longyearbyen,78.2186,15.6401,-4.09,68,40,4.12,SJ,1702947379
157,port blair,11.6667,92.75,28.02,78,40,3.6,IN,1702947379
158,kukawa,12.9234,13.5606,21.29,55,1,4.17,NG,1702947379
159,buka,40.8108,69.1986,3.71,79,100,2.34,UZ,1702947379
160,nova sintra,14.8667,-24.7167,21.45,68,12,5.12,CV,1702947379
161,tura,25.5198,90.2201,14.04,89,3,1.56,IN,1702947379
162,chui,-33.6971,-53.4616,18.26,78,100,8.1,UY,1702947379
163,novyy turtkul',41.55,61.0167,-4.05,73,6,2.74,UZ,1702947379
164,georgetown,5.4112,100.3354,27.75,89,20,1.54,MY,1702947352
165,dickinson,29.4608,-95.0513,18.06,58,0,3.6,US,1702947361
166,st. john's,47.5649,-52.7093,6.49,92,75,10.29,CA,1702947168
167,sinabang,2.4803,96.3801,27.2,81,98,1.92,ID,1702947380
168,peniche,39.3558,-9.3811,5.62,93,0,3.17,PT,1702947380
169,claveria,18.6074,121.0832,25.81,89,94,5.99,PH,1702947380
170,izki,22.9333,57.7667,14.77,58,0,0.9,OM,1702947380
171,dakhla,23.6848,-15.958,16.46,39,1,7.98,EH,1702947380
172,hofors,60.5457,16.2867,4.1,98,100,6.49,SE,1702947380
173,brookings,44.3114,-96.7984,-3.79,65,0,4.12,US,1702946820
174,murzuq,25.9155,13.9184,10.9,53,0,4.49,LY,1702947380
175,iskateley,67.6803,53.1512,-11.66,93,99,6.71,RU,1702947380
176,atafu village,-8.5421,-172.5159,29.39,74,99,2.9,TK,1702947380
177,ta`u,-14.2336,-169.5144,27.97,81,96,3.86,AS,1702947380
178,ozark,37.0209,-93.206,1.52,55,0,2.87,US,1702947380
179,nantucket,41.2835,-70.0995,10.06,87,100,14.92,US,1702947312
180,longonjo,-12.9067,15.2533,16.9,95,100,0.9,AO,1702947381
181,port alfred,-33.5906,26.891,17.88,98,97,0.45,ZA,1702947381
182,huanggang,23.677,116.9996,14.94,70,5,3.76,CN,1702947381
183,quelimane,-17.8786,36.8883,27.97,88,0,1.54,MZ,1702947381
184,kapuskasing,49.4169,-82.4331,-11.0,85,100,9.26,CA,1702947381
185,crane,31.3974,-102.3501,12.62,44,100,4.04,US,1702947381
186,bethel,41.3712,-73.414,8.17,71,20,3.09,US,1702947381
187,villa gesell,-37.2639,-56.973,14.11,65,96,10.67,AR,1702947381
188,olonkinbyen,70.9221,-8.7187,-3.46,72,100,4.32,SJ,1702947381
189,tazovsky,67.4667,78.7,-14.77,89,100,8.9,RU,1702947381
190,ceeldheer,3.8488,47.1806,25.3,80,56,7.91,SO,1702947381
191,yudong,29.385,106.5194,6.94,89,72,0.21,CN,1702947382
192,polyarnyy,69.1989,33.4478,-8.84,86,6,5.86,RU,1702947382
193,deridder,30.8463,-93.289,13.21,71,0,1.54,US,1702947354
194,cidreira,-30.1811,-50.2056,23.15,90,100,6.03,BR,1702947382
195,cape canaveral,28.4058,-80.6048,17.21,66,0,4.63,US,1702947382
196,holualoa,19.6228,-155.9522,22.91,86,75,2.06,US,1702947382
197,chela,34.069,104.4619,-5.95,72,64,0.37,CN,1702947382
198,kone,-21.0595,164.8658,28.0,65,90,1.62,NC,1702947382
199,udachny,66.4167,112.4,-28.86,97,85,1.48,RU,1702947382
200,antofagasta,-23.65,-70.4,18.6,80,54,2.16,CL,1702947115
201,charles city,43.0664,-92.6724,-8.34,68,0,0.45,US,1702947382
202,tyre,33.2733,35.1939,14.0,66,0,3.43,LB,1702947382
203,ovalle,-30.5983,-71.2003,21.11,48,0,2.08,CL,1702947382
